"p","structure","solver","start","tol_found","run_id","time","f_end","gap","success"
10,"hub","pcglasso_cpp","I",1e-05,8,0.304999999999993,2.47833987158951,2.23423425791403e-05,TRUE
10,"hub","pcglasso_cpp","I",1e-05,9,0.0500000000000114,2.47833987158951,2.23423425791403e-05,TRUE
10,"hub","pcglasso_cpp","I",1e-05,10,0.171999999999997,2.47833987158951,2.23423425791403e-05,TRUE
10,"line","pcglasso_cpp","I",1e-04,1,0.0109999999999957,5.99152168571095,7.27777136360075e-05,TRUE
10,"line","pcglasso_cpp","I",1e-04,2,0.00499999999999545,5.99152168571095,7.27777136360075e-05,TRUE
10,"line","pcglasso_cpp","I",1e-04,3,0.00500000000000966,5.99152168571095,7.27777136360075e-05,TRUE
10,"line","pcglasso_cpp","I",1e-04,4,0.0130000000000052,5.99152168571095,7.27777136360075e-05,TRUE
10,"line","pcglasso_cpp","I",1e-04,5,0.0260000000000105,5.99152168571095,7.27777136360075e-05,TRUE
10,"line","pcglasso_cpp","I",1e-04,6,0.0150000000000006,5.99152168571095,7.27777136360075e-05,TRUE
10,"line","pcglasso_cpp","I",1e-04,7,0.00900000000000034,5.99152168571095,7.27777136360075e-05,TRUE
10,"line","pcglasso_cpp","I",1e-04,8,0.0129999999999981,5.99152168571095,7.27777136360075e-05,TRUE
10,"line","pcglasso_cpp","I",1e-04,9,0.0100000000000051,5.99152168571095,7.27777136360075e-05,TRUE
10,"line","pcglasso_cpp","I",1e-04,10,0.0330000000000013,5.99152168571095,7.27777136360075e-05,TRUE
50,"hub","pcglasso_cpp","I",1e-05,1,1.917,15.8990511531366,3.85664399686902e-05,TRUE
