p,cor_modifier,lambda,alpha,K_structure,solver,starting_point,tolerance,time_trimmed_mean,f_end
10,0.8,0.2,0,line,pcglasso_cpp,I,4.328761281083054e-7,0.005500000000012051,6.52463538014498
10,0.8,0.2,0,line,pcglasso_cpp,I,1.5199110829529328e-6,0.004500000000007276,6.524636335693982
10,0.8,0.2,0,line,pcglasso_cpp,I,5.336699231206308e-6,0.009500000000002728,6.524641763187274
10,0.8,0.2,0,line,pcglasso_cpp,I,1.873817422860384e-5,0.003999999999990678,6.524655217224851
10,0.8,0.2,0,line,pcglasso_cpp,I,6.579332246575681e-5,0.002999999999985903,6.524671688044805
10,0.8,0.2,0,line,pcglasso_cpp,I,2.310129700083161e-4,0.0024999999999977263,6.524773087744638
10,0.8,0.2,0,line,pcglasso_cpp,I,8.11130830789687e-4,0.0024999999999693046,6.524934975019579
10,0.8,0.2,0,line,pcglasso_cpp,I,0.002848035868435802,0.001999999999981128,6.525370865851165
10,0.8,0.2,0,line,pcglasso_cpp,I,0.010000000000000004,0.0020000000000095497,6.526552412994729
10,0.8,0.2,0,line,pcglasso_fortran,C,9.999999999999982e-9,0.014499999999998181,6.524634804155357
10,0.8,0.2,0,line,pcglasso_fortran,C,3.5111917342151263e-8,0.00899999999998613,6.524634808694545
10,0.8,0.2,0,line,pcglasso_fortran,C,1.2328467394420646e-7,0.008499999999997954,6.524634922505573
10,0.8,0.2,0,line,pcglasso_fortran,C,4.328761281083054e-7,0.012499999999988631,6.524635153140376
10,0.8,0.2,0,line,pcglasso_fortran,C,1.5199110829529328e-6,0.006000000000000227,6.524636403811596
10,0.8,0.2,0,line,pcglasso_fortran,C,5.336699231206308e-6,0.006000000000000227,6.52464004873122
10,0.8,0.2,0,line,pcglasso_fortran,C,1.873817422860384e-5,0.005500000000012051,6.524652951786017
10,0.8,0.2,0,line,pcglasso_fortran,C,6.579332246575681e-5,0.003999999999990678,6.524763330815819
10,0.8,0.2,0,line,pcglasso_fortran,C,2.310129700083161e-4,0.004000000000019099,6.524894839323151
10,0.8,0.2,0,line,pcglasso_fortran,C,8.11130830789687e-4,0.0034999999999740794,6.5249301985506145
10,0.8,0.2,0,line,pcglasso_fortran,C,0.002848035868435802,0.0030000000000143245,6.526385061286342
10,0.8,0.2,0,line,pcglasso_fortran,C,0.010000000000000004,0.0024999999999977263,6.528147515482821
10,0.8,0.2,0,line,pcglasso_fortran,I,9.999999999999982e-9,0.016000000000019554,6.524634797887287
10,0.8,0.2,0,line,pcglasso_fortran,I,3.5111917342151263e-8,0.014500000000026603,6.524634827133326
10,0.8,0.2,0,line,pcglasso_fortran,I,1.2328467394420646e-7,0.009000000000014552,6.52463492542712
10,0.8,0.2,0,line,pcglasso_fortran,I,4.328761281083054e-7,0.007999999999981355,6.5246354385000425
10,0.8,0.2,0,line,pcglasso_fortran,I,1.5199110829529328e-6,0.007999999999981355,6.524636386250665
10,0.8,0.2,0,line,pcglasso_fortran,I,5.336699231206308e-6,0.007999999999981355,6.524637512824517
10,0.8,0.2,0,line,pcglasso_fortran,I,1.873817422860384e-5,0.007000000000005002,6.5246585424312915
10,0.8,0.2,0,line,pcglasso_fortran,I,6.579332246575681e-5,0.005500000000012051,6.524674802022143
10,0.8,0.2,0,line,pcglasso_fortran,I,2.310129700083161e-4,0.004499999999978854,6.525294583044663
10,0.8,0.2,0,line,pcglasso_fortran,I,8.11130830789687e-4,0.003500000000002501,6.525704882553143
10,0.8,0.2,0,line,pcglasso_fortran,I,0.002848035868435802,0.003500000000002501,6.526416272710203
10,0.8,0.2,0,line,pcglasso_fortran,I,0.010000000000000004,0.002999999999985903,6.52774331021918
10,0.8,0.2,0.5,line,pcglasso,C,9.999999999999982e-9,0.03849999999997067,8.184351412046645
10,0.8,0.2,0.5,line,pcglasso,C,3.5111917342151263e-8,0.03500000000002501,8.184351412046663
10,0.8,0.2,0.5,line,pcglasso,C,1.2328467394420646e-7,0.03149999999999409,8.184351412046752
10,0.8,0.2,0.5,line,pcglasso,C,4.328761281083054e-7,0.02800000000002001,8.184351412047448
10,0.8,0.2,0.5,line,pcglasso,C,1.5199110829529328e-6,0.027999999999991587,8.184351412049311
10,0.8,0.2,0.5,line,pcglasso,C,5.336699231206308e-6,0.02400000000000091,8.18435141207217
10,0.8,0.2,0.5,line,pcglasso,C,1.873817422860384e-5,0.02400000000002933,8.184351418898974
10,0.8,0.2,0.5,line,pcglasso,C,6.579332246575681e-5,0.01650000000000773,8.184351416132515
10,0.8,0.2,0.5,line,pcglasso,C,2.310129700083161e-4,0.024499999999989086,8.184351421546934
10,0.8,0.2,0.5,line,pcglasso,C,8.11130830789687e-4,0.016000000000019554,8.184351907376328
10,0.8,0.2,0.5,line,pcglasso,C,0.002848035868435802,0.015500000000002956,8.184355731164265
10,0.8,0.2,0.5,line,pcglasso,C,0.010000000000000004,0.014000000000010004,8.184442302910686
10,0.8,0.2,0.5,line,pcglasso,I,9.999999999999982e-9,0.03999999999999204,8.184351412046643
10,0.8,0.2,0.5,line,pcglasso,I,3.5111917342151263e-8,0.028500000000008185,8.184351412046725
10,0.8,0.2,0.5,line,pcglasso,I,1.2328467394420646e-7,0.026499999999970214,8.184351412047137
10,0.8,0.2,0.5,line,pcglasso,I,4.328761281083054e-7,0.02400000000000091,8.184351412053136
10,0.8,0.2,0.5,line,pcglasso,I,1.5199110829529328e-6,0.02400000000000091,8.184351412050242
10,0.8,0.2,0.5,line,pcglasso,I,5.336699231206308e-6,0.02749999999997499,8.184351412092331
10,0.8,0.2,0.5,line,pcglasso,I,1.873817422860384e-5,0.013499999999993406,8.18435141674032
10,0.8,0.2,0.5,line,pcglasso,I,6.579332246575681e-5,0.014499999999998181,8.184351416435135
10,0.8,0.2,0.5,line,pcglasso,I,2.310129700083161e-4,0.014499999999998181,8.18435142637591
10,0.8,0.2,0.5,line,pcglasso,I,8.11130830789687e-4,0.012000000000000455,8.184352021197405
10,0.8,0.2,0.5,line,pcglasso,I,0.002848035868435802,0.011500000000012278,8.184356746943434
10,0.8,0.2,0.5,line,pcglasso,I,0.010000000000000004,0.01849999999998886,8.184390293940199
10,0.8,0.2,0.5,line,pcglasso_cpp,C,9.999999999999982e-9,0.012500000000017053,8.184351419042235
10,0.8,0.2,0.5,line,pcglasso_cpp,C,3.5111917342151263e-8,0.0049999999999954525,8.184351426805474
10,0.8,0.2,0.5,line,pcglasso_cpp,C,1.2328467394420646e-7,0.0049999999999954525,8.184351449442516
10,0.8,0.2,0.5,line,pcglasso_cpp,C,4.328761281083054e-7,0.01099999999999568,8.184351652989454
